Date,Open,High,Low,Close,Adj Close,Volume
2015-10-05,11.000000,13.980000,10.990000,12.500000,12.500000,1445700
2015-10-12,13.340000,17.240000,12.070000,14.570000,14.570000,748800
2015-10-19,14.910000,16.080000,12.990000,14.430000,14.430000,527600
2015-10-26,14.440000,15.255000,13.624000,14.470000,14.470000,366500
2015-11-02,14.220000,15.460000,14.060000,14.670000,14.670000,142500
2015-11-09,14.670000,18.219999,14.460000,18.150000,18.150000,324800
2015-11-16,18.170000,23.490000,16.660999,20.840000,20.840000,286600
2015-11-23,20.459999,24.600000,19.860001,23.400000,23.400000,242500
2015-11-30,23.260000,23.600000,19.790001,21.129999,21.129999,188600
2015-12-07,21.190001,22.430000,19.799999,22.049999,22.049999,263300
2015-12-14,21.850000,33.880001,20.795000,28.680000,28.680000,1280300
2015-12-21,28.719999,30.000000,28.360001,28.990000,28.990000,140700
2015-12-28,28.969999,29.000000,23.290001,26.940001,26.940001,175200
2016-01-04,26.860001,27.934999,23.430000,23.500000,23.500000,190500
2016-01-11,25.350000,25.350000,16.500000,20.420000,20.420000,307300
2016-01-18,20.500000,23.969999,19.030001,22.000000,22.000000,142400
2016-01-25,22.240000,22.510000,19.389999,22.230000,22.230000,164200
2016-02-01,22.260000,22.870001,20.940001,21.540001,21.540001,93700
2016-02-08,21.400000,22.264999,19.139999,19.450001,19.450001,74500
2016-02-15,19.510000,19.510000,14.440000,15.290000,15.290000,221500
2016-02-22,15.400000,19.990000,15.330000,18.930000,18.930000,323900
2016-02-29,19.100000,19.600000,16.160000,18.020000,18.020000,178400
2016-03-07,19.600000,19.600000,15.944000,16.840000,16.840000,130700
2016-03-14,16.850000,17.480000,15.520000,15.710000,15.710000,103700
2016-03-21,15.420000,16.150000,14.120000,14.770000,14.770000,152000
2016-03-28,14.680000,21.980000,14.680000,20.500000,20.500000,191900
2016-04-04,20.450001,21.500000,18.750000,20.160000,20.160000,184200
2016-04-11,20.230000,20.625000,19.459999,20.059999,20.059999,148800
2016-04-18,19.860001,20.969999,18.820000,19.660000,19.660000,149000
2016-04-25,19.770000,22.040001,18.260000,18.480000,18.480000,170500
2016-05-02,18.780001,21.490000,18.510000,20.709999,20.709999,155100
2016-05-09,20.719999,21.410000,16.860001,19.059999,19.059999,244700
2016-05-16,19.330000,21.299999,18.469999,20.350000,20.350000,273000
2016-05-23,20.299999,21.059999,18.915001,20.000000,20.000000,245600
2016-05-30,19.799999,21.500000,19.049999,20.209999,20.209999,451900
2016-06-06,21.150000,23.580000,20.062000,21.969999,21.969999,699700
2016-06-13,21.969999,23.240000,18.110001,18.930000,18.930000,540600
2016-06-20,18.930000,19.420000,17.209999,18.100000,18.100000,757200
2016-06-27,18.180000,19.240000,17.100000,19.049999,19.049999,285700
2016-07-04,18.980000,20.260000,18.850000,20.129999,20.129999,163300
2016-07-11,20.330000,20.639999,19.600000,20.299999,20.299999,257800
2016-07-18,20.440001,21.465000,19.920000,20.910000,20.910000,312900
2016-07-25,20.820000,20.900000,19.610001,19.700001,19.700001,294500
2016-08-01,19.809999,20.280001,18.610001,18.930000,18.930000,194400
2016-08-08,18.870001,19.610001,18.240000,19.270000,19.270000,161600
2016-08-15,19.510000,20.610001,19.299999,20.139999,20.139999,261200
2016-08-22,20.150000,21.870001,19.750000,21.340000,21.340000,269100
2016-08-29,21.590000,22.660000,20.000000,20.860001,20.860001,312800
2016-09-05,20.879999,23.290001,20.500000,21.490000,21.490000,233800
2016-09-12,21.000000,25.000000,20.870001,24.500000,24.500000,1177600
2016-09-19,25.040001,25.400000,23.695000,24.860001,24.860001,689400
2016-09-26,24.730000,25.760000,24.450001,25.610001,25.610001,537700
2016-10-03,25.490000,25.950001,24.190001,24.639999,24.639999,385200
2016-10-10,25.165001,25.299999,22.610001,22.629999,22.629999,367000
2016-10-17,22.260000,22.840000,21.670000,22.290001,22.290001,363400
2016-10-24,22.450001,23.030001,20.860001,21.340000,21.340000,373300
2016-10-31,21.430000,21.500000,20.150000,20.879999,20.879999,378100
2016-11-07,21.250000,23.480000,20.360001,22.700001,22.700001,1175600
2016-11-14,23.120001,26.150000,20.200001,25.980000,25.980000,5948600
2016-11-21,25.450001,28.770000,24.379999,27.730000,27.730000,1070700
2016-11-28,27.910000,30.629999,27.270000,29.469999,29.469999,1833300
2016-12-05,29.809999,30.760000,27.660000,29.280001,29.280001,811100
2016-12-12,29.090000,31.440001,27.520000,31.250000,31.250000,1040000
2016-12-19,31.680000,31.799999,27.650000,28.209999,28.209999,844500
2016-12-26,28.200001,28.385000,26.590000,27.139999,27.139999,551100
2017-01-02,27.209999,29.900000,26.545000,28.959999,28.959999,780100
2017-01-09,28.969999,30.240000,26.955000,28.700001,28.700001,1915800
