Date,Open,High,Low,Close,Adj Close,Volume
1972-05-29,1.416667,1.416667,1.416667,1.416667,0.000010,0
1972-06-05,1.416667,1.437500,1.416667,1.437500,0.000010,0
1972-06-12,1.437500,1.437500,1.416667,1.437500,0.000010,0
1972-06-19,1.437500,1.437500,1.416667,1.416667,0.000010,0
1972-06-26,1.416667,1.416667,1.395833,1.416667,0.000010,0
1972-07-03,1.416667,1.427083,1.416667,1.427083,0.000010,0
1972-07-10,1.427083,1.447917,1.427083,1.447917,0.000010,0
1972-07-17,1.468750,1.510417,1.468750,1.510417,0.000010,0
1972-07-24,1.500000,1.500000,1.489583,1.489583,0.000010,0
1972-07-31,1.479167,1.489583,1.479167,1.479167,0.000010,0
1972-08-07,1.479167,1.479167,1.458333,1.458333,0.000010,0
1972-08-14,1.458333,1.458333,1.416667,1.437500,0.000010,0
1972-08-21,1.437500,1.437500,1.427083,1.427083,0.000010,0
1972-08-28,1.427083,1.427083,1.427083,1.427083,0.000010,0
1972-09-04,1.427083,1.447917,1.427083,1.447917,0.000010,0
1972-09-11,1.447917,1.447917,1.437500,1.437500,0.000010,0
1972-09-18,1.427083,1.427083,1.427083,1.427083,0.000010,0
1972-09-25,1.437500,1.437500,1.416667,1.416667,0.000010,0
1972-10-02,1.416667,1.427083,1.416667,1.427083,0.000010,0
1972-10-09,1.427083,1.437500,1.427083,1.427083,0.000010,0
1972-10-16,1.427083,1.437500,1.427083,1.427083,0.000010,0
1972-10-23,1.427083,1.427083,1.427083,1.427083,0.000010,0
1972-10-30,1.416667,1.416667,1.385417,1.395833,0.000009,0
1972-11-06,1.395833,1.416667,1.395833,1.416667,0.000010,0
1972-11-13,1.427083,1.427083,1.416667,1.427083,0.000010,0
1972-11-20,1.427083,1.447917,1.427083,1.447917,0.000010,0
1972-11-27,1.447917,1.447917,1.437500,1.437500,0.000010,0
1972-12-04,1.447917,1.458333,1.447917,1.458333,0.000010,0
1972-12-11,1.458333,1.458333,1.458333,1.458333,0.000010,0
1972-12-18,1.458333,1.458333,1.447917,1.447917,0.000010,0
1972-12-25,1.447917,1.447917,1.447917,1.447917,0.000010,0
1973-01-01,1.458333,1.458333,1.447917,1.447917,0.000010,0
1973-01-08,1.447917,1.468750,1.447917,1.468750,0.000010,0
1973-01-15,1.468750,1.479167,1.468750,1.479167,0.000010,0
1973-01-22,1.489583,1.489583,1.479167,1.479167,0.000010,0
1973-01-29,1.479167,1.479167,1.447917,1.447917,0.000010,0
1973-02-05,1.447917,1.447917,1.437500,1.437500,0.000010,0
1973-02-12,1.437500,1.458333,1.427083,1.427083,0.000010,0
1973-02-19,1.437500,1.447917,1.427083,1.427083,0.000010,72000
1973-02-26,1.427083,1.447917,1.427083,1.447917,0.000010,19200
1973-03-05,1.447917,1.458333,1.437500,1.458333,0.000010,38400
1973-03-12,1.593750,1.718750,1.583333,1.718750,0.000012,184800
1973-03-19,1.729167,1.729167,1.604167,1.614583,0.000011,134400
1973-03-26,1.614583,1.666667,1.614583,1.645833,0.000011,72000
1973-04-02,1.666667,1.937500,1.666667,1.937500,0.000013,177600
1973-04-09,1.833333,1.833333,1.729167,1.729167,0.000012,177600
1973-04-16,1.718750,1.718750,1.687500,1.687500,0.000011,45600
1973-04-23,1.656250,1.666667,1.656250,1.666667,0.000011,40800
1973-04-30,1.656250,1.666667,1.645833,1.666667,0.000011,38400
1973-05-07,1.666667,1.687500,1.666667,1.687500,0.000011,21600
1973-05-14,1.687500,1.687500,1.593750,1.593750,0.000011,28800
1973-05-21,1.583333,1.583333,1.510417,1.531250,0.000010,69600
1973-05-28,1.541667,1.552083,1.520833,1.541667,0.000010,69600
1973-06-04,1.531250,1.635417,1.520833,1.635417,0.000011,98400
1973-06-11,1.666667,1.677083,1.635417,1.645833,0.000011,69600
1973-06-18,1.635417,1.635417,1.572917,1.583333,0.000011,40800
1973-06-25,1.583333,1.583333,1.583333,1.583333,0.000011,0
1973-07-02,1.583333,1.583333,1.500000,1.500000,0.000010,50400
1973-07-09,1.500000,1.552083,1.500000,1.552083,0.000011,36000
1973-07-16,1.572917,1.635417,1.552083,1.635417,0.000011,62400
1973-07-23,1.645833,1.645833,1.625000,1.635417,0.000011,12000
1973-07-30,1.604167,1.625000,1.583333,1.625000,0.000011,40800
1973-08-06,1.625000,1.625000,1.583333,1.583333,0.000011,21600
1973-08-13,1.583333,1.583333,1.531250,1.541667,0.000010,28800
1973-08-20,1.541667,1.552083,1.541667,1.541667,0.000010,7200
1973-08-27,1.541667,1.583333,1.541667,1.583333,0.000011,38400
1973-09-03,1.593750,1.645833,1.593750,1.625000,0.000011,33600
1973-09-10,1.635417,1.666667,1.635417,1.656250,0.000011,26400
1973-09-17,1.645833,1.666667,1.645833,1.656250,0.000011,21600
1973-09-24,1.656250,1.677083,1.645833,1.677083,0.000011,26400
1973-10-01,1.687500,1.739583,1.687500,1.708333,0.000012,120000
1973-10-08,1.687500,1.697917,1.687500,1.697917,0.000012,31200
1973-10-15,1.687500,1.687500,1.583333,1.604167,0.000011,91200
1973-10-22,1.625000,1.645833,1.625000,1.635417,0.000011,28800
1973-10-29,1.614583,1.625000,1.614583,1.625000,0.000011,12000
1973-11-05,1.625000,1.625000,1.583333,1.583333,0.000011,7200
1973-11-12,1.572917,1.572917,1.520833,1.520833,0.000010,14400
1973-11-19,1.520833,1.531250,1.479167,1.489583,0.000010,43200
1973-11-26,1.479167,1.510417,1.427083,1.447917,0.000010,36000
1973-12-03,1.447917,1.447917,1.354167,1.395833,0.000009,43200
1973-12-10,1.406250,1.489583,1.385417,1.385417,0.000009,38400
1973-12-17,1.416667,1.416667,1.375000,1.406250,0.000010,48000
1973-12-24,1.416667,1.447917,1.385417,1.427083,0.000010,24000
1973-12-31,1.427083,1.468750,1.427083,1.447917,0.000010,38400
1974-01-07,1.458333,1.541667,1.458333,1.500000,0.000010,24000
1974-01-14,1.520833,1.562500,1.520833,1.562500,0.000011,12000
1974-01-21,1.562500,1.635417,1.552083,1.614583,0.000011,28800
1974-01-28,1.614583,1.625000,1.583333,1.583333,0.000011,36000
1974-02-04,1.583333,1.583333,1.458333,1.479167,0.000010,45600
1974-02-11,1.479167,1.479167,1.416667,1.447917,0.000010,60000
1974-02-18,1.447917,1.458333,1.447917,1.447917,0.000010,24000
1974-02-25,1.458333,1.520833,1.458333,1.520833,0.000010,69600
1974-03-04,1.520833,1.541667,1.520833,1.541667,0.000010,86400
1974-03-11,1.562500,1.687500,1.562500,1.614583,0.000011,105600
1974-03-18,1.614583,1.625000,1.593750,1.604167,0.000011,28800
