Date,Open,High,Low,Close,Adj Close,Volume
2014-07-28,0.045000,0.045000,0.030000,0.030000,0.030000,7000
2014-08-04,0.030000,0.030000,0.025000,0.025000,0.025000,70000
2014-08-11,0.025000,0.025000,0.025000,0.025000,0.025000,157000
2014-08-18,0.025000,0.035000,0.020000,0.020000,0.020000,195400
2014-08-25,0.020000,0.020000,0.020000,0.020000,0.020000,10000
2014-09-01,0.020000,0.020000,0.020000,0.020000,0.020000,12000
2014-09-08,0.020000,0.020000,0.020000,0.020000,0.020000,47000
2014-09-15,0.020000,0.025000,0.020000,0.025000,0.025000,3400
2014-09-22,0.025000,0.025000,0.025000,0.025000,0.025000,0
2014-09-29,0.020000,0.020000,0.020000,0.020000,0.020000,65000
2014-10-06,0.020000,0.020000,0.015000,0.015000,0.015000,6000
2014-10-13,0.015000,0.015000,0.015000,0.015000,0.015000,6000
2014-10-20,0.015000,0.015000,0.015000,0.015000,0.015000,21000
2014-10-27,0.015000,0.015000,0.015000,0.015000,0.015000,159310
2014-11-03,0.015000,0.015000,0.015000,0.015000,0.015000,47000
2014-11-10,0.015000,0.015000,0.015000,0.015000,0.015000,5637
2014-11-17,0.015000,0.020000,0.015000,0.020000,0.020000,26605
2014-11-24,0.020000,0.020000,0.020000,0.020000,0.020000,0
2014-12-01,0.015000,0.015000,0.015000,0.015000,0.015000,68500
2014-12-08,0.015000,0.020000,0.015000,0.015000,0.015000,59557
2014-12-15,0.015000,0.015000,0.015000,0.015000,0.015000,47200
2014-12-22,0.015000,0.020000,0.015000,0.020000,0.020000,287000
2014-12-29,0.015000,0.015000,0.015000,0.015000,0.015000,29218
2015-01-05,0.015000,0.020000,0.015000,0.015000,0.015000,34550
2015-01-12,null,null,null,null,null,null
2015-01-19,null,null,null,null,null,null
2015-01-26,null,null,null,null,null,null
2015-02-02,null,null,null,null,null,null
2015-02-09,null,null,null,null,null,null
2015-02-16,0.015000,0.015000,0.015000,0.015000,0.015000,0
2015-02-23,0.015000,0.020000,0.010000,0.020000,0.020000,58300
2015-03-02,0.020000,0.020000,0.020000,0.020000,0.020000,0
2015-03-09,0.020000,0.020000,0.010000,0.010000,0.010000,50000
2015-03-16,0.010000,0.015000,0.010000,0.015000,0.015000,33650
2015-03-23,0.010000,0.010000,0.010000,0.010000,0.010000,62000
2015-03-30,0.010000,0.015000,0.010000,0.015000,0.015000,4500
2015-04-06,0.015000,0.015000,0.010000,0.010000,0.010000,17018
2015-04-13,0.010000,0.010000,0.010000,0.010000,0.010000,1000
2015-04-20,0.010000,0.010000,0.010000,0.010000,0.010000,230000
2015-04-27,0.010000,0.020000,0.010000,0.020000,0.020000,212000
2015-05-04,0.020000,0.020000,0.020000,0.020000,0.020000,2000
2015-05-11,0.020000,0.020000,0.010000,0.015000,0.015000,36000
2015-05-18,null,null,null,null,null,null
2015-05-25,null,null,null,null,null,null
2015-06-01,null,null,null,null,null,null
2015-06-08,0.010000,0.010000,0.010000,0.010000,0.010000,5000
2015-06-15,0.010000,0.010000,0.010000,0.010000,0.010000,0
2015-06-22,0.015000,0.015000,0.015000,0.015000,0.015000,60079
2015-06-29,0.015000,0.015000,0.010000,0.010000,0.010000,223400
2015-07-06,0.010000,0.010000,0.010000,0.010000,0.010000,4500
2015-07-13,0.010000,0.015000,0.010000,0.015000,0.015000,113664
2015-07-20,0.015000,0.015000,0.015000,0.015000,0.015000,2000
2015-07-27,0.015000,0.015000,0.015000,0.015000,0.015000,0
2015-08-03,0.015000,13.310000,0.015000,10.140000,10.140000,19291100
2015-08-10,10.730000,10.730000,9.500000,10.040000,10.040000,2091900
2015-08-17,10.040000,11.030000,9.810000,9.900000,9.900000,1913000
2015-08-24,9.390000,11.850000,8.500000,11.620000,11.620000,3697200
2015-08-31,11.860000,12.240000,10.500000,11.560000,11.560000,2264400
2015-09-07,12.000000,12.000000,10.910000,11.500000,11.500000,1839700
2015-09-14,11.410000,11.900000,10.940000,11.580000,11.580000,2709900
2015-09-21,11.690000,11.900000,10.740000,11.130000,11.130000,1638800
2015-09-28,11.040000,11.340000,9.530000,10.510000,10.510000,5864200
2015-10-05,10.710000,11.600000,10.510000,11.260000,11.260000,1397100
2015-10-12,11.310000,11.310000,10.310000,10.340000,10.340000,921000
2015-10-19,10.280000,10.340000,8.520000,9.080000,9.080000,2159000
2015-10-26,9.030000,9.435000,7.000000,7.410000,7.410000,2852600
2015-11-02,7.370000,8.110000,7.110000,7.820000,7.820000,2810400
2015-11-09,8.290000,8.290000,6.360000,7.310000,7.310000,2624600
2015-11-16,7.400000,7.400000,6.360000,6.670000,6.670000,3003900
2015-11-23,6.620000,7.410000,6.560000,7.220000,7.220000,1782700
2015-11-30,7.230000,8.350000,6.530000,7.850000,7.850000,3007400
2015-12-07,7.790000,8.370000,7.460000,7.860000,7.860000,1978000
2015-12-14,7.950000,13.950000,7.830000,13.740000,13.740000,13149700
2015-12-21,14.150000,14.950000,11.410000,12.190000,12.190000,7145500
2015-12-28,12.110000,12.380000,11.070000,11.770000,11.770000,1900300
2016-01-04,11.270000,11.490000,9.078000,9.750000,9.750000,8305100
2016-01-11,9.650000,9.700000,7.260000,7.750000,7.750000,4032200
2016-01-18,7.830000,9.700000,6.940000,8.790000,8.790000,4662400
2016-01-25,8.780000,10.190000,8.140000,9.520000,9.520000,3818400
2016-02-01,9.620000,9.620000,7.774000,7.960000,7.960000,2866100
2016-02-08,7.870000,7.940000,4.995000,5.040000,5.040000,5962100
2016-02-15,5.060000,5.970000,4.855000,5.410000,5.410000,5225400
2016-02-22,5.500000,5.690000,4.900000,5.510000,5.510000,2937600
2016-02-29,5.590000,6.750000,5.130000,6.210000,6.210000,6211200
2016-03-07,6.220000,7.240000,6.010000,6.355000,6.355000,7926200
2016-03-14,6.380000,7.080000,6.150000,6.690000,6.690000,6482400
2016-03-21,6.890000,6.890000,6.000000,6.240000,6.240000,3249600
2016-03-28,6.310000,6.600000,6.210000,6.440000,6.440000,3677400
2016-04-04,6.470000,7.180000,6.190000,6.750000,6.750000,4350300
2016-04-11,6.690000,7.367000,6.650000,7.040000,7.040000,2459100
2016-04-18,6.990000,8.040000,6.870000,7.910000,7.910000,5002900
2016-04-25,7.900000,8.450000,7.400000,7.880000,7.880000,2770100
2016-05-02,7.830000,8.080000,7.190000,7.500000,7.500000,4507500
2016-05-09,7.520000,7.550000,6.090000,6.610000,6.610000,6715100
2016-05-16,6.340000,6.460000,5.800000,6.110000,6.110000,9986700
2016-05-23,6.060000,6.680000,6.000000,6.410000,6.410000,4188600
2016-05-30,6.370000,6.600000,6.020000,6.070000,6.070000,2684500
2016-06-06,6.100000,6.590000,6.100000,6.300000,6.300000,3573200
2016-06-13,6.260000,6.410000,5.830000,6.020000,6.020000,4595200
2016-06-20,6.000000,6.380000,5.270000,5.590000,5.590000,9382600
2016-06-27,5.530000,5.950000,5.110000,5.440000,5.440000,5767900
2016-07-04,5.400000,5.435000,4.940000,5.080000,5.080000,3025800
2016-07-11,5.110000,5.290000,4.900000,5.070000,5.070000,3907600
2016-07-18,5.080000,5.320000,4.990000,5.130000,5.130000,2689100
2016-07-25,5.140000,5.275000,5.000000,5.180000,5.180000,3487300
2016-08-01,5.180000,5.205000,4.900000,5.190000,5.190000,4299200
2016-08-08,5.230000,6.900000,5.150000,6.230000,6.230000,11777200
2016-08-15,6.210000,6.280000,5.830000,5.980000,5.980000,6717000
2016-08-22,5.930000,6.180000,5.860000,5.950000,5.950000,3345900
2016-08-29,5.970000,6.180000,5.910000,6.120000,6.120000,2906600
2016-09-05,6.110000,6.300000,5.975000,6.060000,6.060000,3574700
2016-09-12,6.020000,6.200000,5.250000,5.380000,5.380000,7786600
2016-09-19,5.380000,5.950000,5.281000,5.920000,5.920000,4608400
2016-09-26,5.920000,6.350000,5.865000,6.300000,6.300000,5717000
2016-10-03,6.310000,6.750000,5.900000,6.490000,6.490000,8424400
2016-10-10,6.550000,7.340000,6.360000,6.380000,6.380000,9597600
2016-10-17,6.360000,6.783000,6.190000,6.270000,6.270000,5683300
2016-10-24,6.290000,6.341000,5.120000,5.180000,5.180000,6729800
2016-10-31,5.180000,5.300000,4.570000,4.710000,4.710000,8902000
2016-11-07,4.930000,5.500000,4.150000,5.110000,5.110000,10997400
2016-11-14,5.120000,5.190000,4.710000,4.980000,4.980000,6870100
2016-11-21,5.060000,5.420000,4.760000,5.340000,5.340000,5235900
2016-11-28,5.410000,5.600000,4.890000,5.090000,5.090000,6471100
2016-12-05,5.100000,5.860000,5.080000,5.850000,5.850000,6840700
2016-12-12,5.870000,5.950000,5.170000,5.590000,5.590000,6294200
2016-12-19,5.580000,5.890000,5.220000,5.230000,5.230000,4120200
2016-12-26,5.230000,5.680000,5.205000,5.310000,5.310000,3785200
2017-01-02,5.390000,5.880000,5.360000,5.800000,5.800000,3911300
2017-01-09,5.770000,6.500000,5.620000,6.250000,6.250000,6289500
2017-01-16,6.220000,6.360000,5.750000,5.880000,5.880000,3291900
2017-01-23,5.880000,5.880000,5.500000,5.550000,5.550000,4093200
2017-01-30,5.510000,5.660000,5.110000,5.660000,5.660000,4252100
2017-02-06,5.610000,6.080000,5.480000,5.990000,5.990000,3559000
2017-02-13,6.030000,6.180000,5.850000,5.960000,5.960000,4538400
2017-02-20,6.000000,6.140000,5.720000,5.850000,5.850000,4150100
2017-02-27,5.850000,5.950000,5.400000,5.410000,5.410000,5239100
2017-03-06,5.410000,5.490000,5.000000,5.060000,5.060000,10475100
2017-03-13,5.060000,5.180000,4.790000,4.950000,4.950000,6062300
2017-03-20,4.930000,5.100000,4.800000,4.910000,4.910000,5399200
2017-03-27,4.880000,5.430000,4.860000,5.400000,5.400000,4366100
2017-04-03,5.370000,5.370000,4.950000,5.340000,5.340000,4412100
2017-04-10,5.310000,5.620000,5.180000,5.230000,5.230000,3911000
2017-04-17,5.240000,5.390000,5.070000,5.120000,5.120000,3729800
2017-04-24,5.210000,5.495000,5.150000,5.290000,5.290000,3974100
2017-05-01,5.280000,5.430000,4.590000,4.860000,4.860000,8263800
2017-05-08,4.810000,5.210000,4.810000,4.870000,4.870000,5805300
2017-05-15,4.910000,5.100000,4.730000,5.050000,5.050000,4517500
2017-05-22,4.880000,5.035000,4.790000,4.940000,4.940000,5092300
