Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,14.250000,14.940000,13.780000,14.100000,14.100000,997200
2017-11-20,14.050000,14.935000,13.800000,14.070000,14.070000,242500
2017-11-27,14.250000,17.400000,14.160000,16.580000,16.580000,213500
2017-12-04,17.090000,18.170000,13.020000,14.610000,14.610000,302300
2017-12-11,14.400000,15.750000,13.500000,13.500000,13.500000,199000
2017-12-18,13.580000,14.000000,11.750000,12.960000,12.960000,177000
2017-12-25,13.355000,13.390000,12.090000,12.090000,12.090000,118000
2018-01-01,12.210000,13.040000,11.500000,11.820000,11.820000,92200
2018-01-08,11.910000,12.916000,11.830000,12.000000,12.000000,150900
2018-01-15,12.300000,12.500000,12.100000,12.190000,12.190000,108600
2018-01-22,12.010000,12.930000,12.010000,12.700000,12.700000,158800
2018-01-29,12.750000,12.950000,12.201000,12.280000,12.280000,147900
2018-02-05,12.310000,12.940000,11.521000,12.000000,12.000000,84400
2018-02-12,12.400000,14.672000,12.070000,13.850000,13.850000,211100
2018-02-19,14.063000,15.950000,14.063000,15.350000,15.350000,115000
2018-02-26,15.710000,16.000000,14.800000,15.360000,15.360000,97500
2018-03-05,15.250000,16.100000,15.100000,16.070000,16.070000,169900
2018-03-12,16.100000,17.955000,13.680000,14.050000,14.050000,1219000
2018-03-19,13.776000,13.920000,12.350000,12.420000,12.420000,371100
2018-03-26,12.484000,12.800000,11.110000,12.400000,12.400000,265000
2018-04-02,12.310000,12.470000,10.724000,11.020000,11.020000,249700
2018-04-09,11.100000,11.900000,10.520000,10.940000,10.940000,414800
2018-04-16,11.050000,11.375000,10.121000,10.190000,10.190000,478300
2018-04-23,10.250000,10.271000,9.100000,9.130000,9.130000,338800
2018-04-30,9.200000,12.950000,8.885000,11.920000,11.920000,821900
2018-05-07,12.120000,15.700000,11.714000,14.070000,14.070000,1224500
2018-05-14,14.080000,15.000000,12.650000,13.070000,13.070000,519900
2018-05-21,13.070000,14.773000,13.070000,13.980000,13.980000,614900
2018-05-28,14.000000,14.360000,8.500000,8.920000,8.920000,1712800
2018-06-04,8.900000,9.460000,6.890000,7.110000,7.110000,1246000
2018-06-11,7.120000,7.800000,5.610000,6.050000,6.050000,1739200
2018-06-18,5.980000,6.100000,5.211000,5.830000,5.830000,1066100
2018-06-25,5.840000,5.970000,5.460000,5.660000,5.660000,299800
2018-07-02,5.650000,5.970000,5.590000,5.740000,5.740000,205700
2018-07-09,5.730000,5.780000,5.080000,5.490000,5.490000,418300
2018-07-16,5.500000,5.500000,4.570000,4.800000,4.800000,386900
2018-07-23,4.740000,4.950000,4.510000,4.570000,4.570000,214900
2018-07-30,4.580000,4.940000,4.480000,4.790000,4.790000,135400
2018-08-06,4.806000,4.950000,4.325000,4.590000,4.590000,205600
2018-08-13,4.640000,4.680000,4.415000,4.550000,4.550000,26800
