Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,14.550000,14.780000,13.500000,13.550000,13.550000,3843226
2017-02-06,13.550000,13.640000,11.410000,11.890000,11.890000,3191800
2017-02-13,11.900000,13.000000,10.740000,10.940000,10.940000,1690700
2017-02-20,10.890000,11.300000,10.810000,10.920000,10.920000,490300
2017-02-27,10.870000,13.550000,10.750000,13.000000,13.000000,1377500
2017-03-06,13.010000,13.260000,10.080000,10.490000,10.490000,1263500
2017-03-13,10.440000,10.830000,9.550000,9.780000,9.780000,864300
2017-03-20,9.900000,9.900000,8.560000,8.750000,8.750000,948300
2017-03-27,8.680000,11.070000,8.530000,9.670000,9.670000,2210500
2017-04-03,9.750000,10.180000,9.090000,9.440000,9.440000,1059500
2017-04-10,9.490000,9.510000,8.200000,8.350000,8.350000,600700
2017-04-17,8.500000,8.500000,7.020000,7.230000,7.230000,606200
2017-04-24,7.300000,8.140000,7.260000,7.760000,7.760000,956700
2017-05-01,7.810000,7.810000,6.050000,6.120000,6.120000,953900
2017-05-08,6.150000,6.490000,5.660000,6.320000,6.320000,1279400
2017-05-15,6.520000,6.740000,5.740000,6.520000,6.520000,1368700
2017-05-22,6.540000,7.700000,6.310000,6.570000,6.570000,991000
2017-05-29,6.530000,6.850000,5.860000,5.890000,5.890000,632700
2017-06-05,5.850000,5.990000,5.270000,5.400000,5.400000,695900
2017-06-12,5.410000,5.780000,5.010000,5.120000,5.120000,640000
2017-06-19,5.130000,5.700000,5.040000,5.470000,5.470000,746900
2017-06-26,5.490000,6.470000,5.080000,6.050000,6.050000,1123000
2017-07-03,6.090000,6.410000,5.300000,5.880000,5.880000,366200
2017-07-10,5.760000,6.400000,5.750000,6.320000,6.320000,309300
2017-07-17,6.420000,7.140000,6.180000,6.660000,6.660000,667900
2017-07-24,6.990000,6.990000,6.120000,6.250000,6.250000,622400
2017-07-31,6.250000,7.490000,6.130000,7.100000,7.100000,921000
2017-08-07,7.190000,7.940000,7.110000,7.200000,7.200000,718800
2017-08-14,7.170000,7.380000,6.360000,7.020000,7.020000,608700
2017-08-21,7.080000,8.300000,7.010000,7.980000,7.980000,768500
2017-08-28,8.030000,8.300000,7.590000,7.830000,7.830000,669400
2017-09-04,7.770000,7.980000,7.270000,7.350000,7.350000,649700
2017-09-11,7.500000,7.920000,6.910000,6.970000,6.970000,605000
2017-09-18,6.910000,7.090000,6.510000,6.810000,6.810000,456300
2017-09-25,6.850000,7.070000,6.430000,6.630000,6.630000,644600
2017-10-02,6.660000,6.950000,6.610000,6.620000,6.620000,412800
2017-10-09,6.570000,6.580000,6.140000,6.210000,6.210000,303600
