Date,Open,High,Low,Close,Adj Close,Volume
2014-11-17,9.640000,9.640000,9.640000,9.640000,9.640000,0
2014-11-24,9.640000,9.700000,9.600000,9.700000,9.700000,1100
2014-12-01,9.680000,9.700000,9.550000,9.550000,9.550000,2800
2014-12-08,9.640000,9.780000,9.570000,9.590000,9.590000,14600
2014-12-15,9.620000,9.690000,9.560000,9.640000,9.640000,3000
2014-12-22,9.640000,9.640000,9.600000,9.640000,9.640000,0
2014-12-29,9.600000,9.600000,9.600000,9.600000,9.600000,13300
2015-01-05,9.680000,9.750000,9.650000,9.750000,9.750000,30200
2015-01-12,9.750000,9.800000,9.670000,9.700000,9.700000,16700
2015-01-19,9.600000,9.800000,9.600000,9.750000,9.750000,11000
2015-01-26,9.690000,9.820000,9.660000,9.760000,9.760000,310000
2015-02-02,9.690000,9.750000,9.660000,9.680000,9.680000,16500
2015-02-09,9.680000,9.780000,9.660000,9.730000,9.730000,3800
2015-02-16,9.730000,9.750000,9.730000,9.750000,9.750000,900
2015-02-23,9.750000,9.750000,9.680000,9.680000,9.680000,1900
2015-03-02,9.750000,9.750000,9.680000,9.700000,9.700000,2700
2015-03-09,9.700000,9.700000,9.700000,9.700000,9.700000,0
2015-03-16,9.700000,9.750000,9.700000,9.710000,9.710000,1000
2015-03-23,9.750000,9.790000,9.750000,9.780000,9.780000,4900
2015-03-30,9.780000,10.200000,9.780000,9.930000,9.930000,9500
2015-04-06,9.930000,10.440000,9.930000,10.390000,10.390000,14300
2015-04-13,10.390000,10.390000,10.050000,10.050000,10.050000,600
2015-04-20,10.050000,10.050000,10.020000,10.040000,10.040000,7400
2015-04-27,10.040000,13.350000,10.040000,11.960000,11.960000,3970000
2015-05-04,11.920000,12.140000,10.830000,11.250000,11.250000,866400
2015-05-11,11.050000,11.750000,10.930000,11.570000,11.570000,2654500
2015-05-18,11.640000,12.000000,11.200000,11.880000,11.880000,1516300
2015-05-25,11.850000,11.850000,11.070000,11.260000,11.260000,541200
2015-06-01,11.300000,11.410000,10.900000,10.980000,10.980000,1349600
2015-06-08,11.070000,11.500000,10.610000,11.290000,11.290000,1507600
