Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,17.799999,19.330000,17.730000,18.100000,18.100000,14841900
2017-05-01,18.969999,22.020000,18.100000,19.969999,19.969999,8280500
2017-05-08,20.260000,20.879999,19.531000,20.799999,20.799999,3303900
2017-05-15,21.000000,23.080000,19.650000,20.010000,20.010000,4997800
2017-05-22,20.020000,23.350000,19.820000,22.290001,22.290001,3683000
2017-05-29,22.389999,23.000000,20.320000,22.870001,22.870001,2397300
2017-06-05,22.670000,23.320000,19.056999,19.410000,19.410000,10812700
2017-06-12,19.530001,19.530001,15.860000,17.400000,17.400000,9692000
2017-06-19,17.700001,17.781000,16.160000,16.350000,16.350000,7136900
2017-06-26,16.280001,16.709999,15.400000,16.020000,16.020000,3530700
2017-07-03,16.020000,16.860001,15.790000,16.660000,16.660000,1965700
2017-07-10,16.629999,17.150000,16.023001,17.010000,17.010000,2501200
2017-07-17,17.070000,19.250000,17.040001,18.250000,18.250000,3473400
2017-07-24,18.240000,19.090000,17.129999,18.129999,18.129999,4336100
2017-07-31,18.200001,18.211000,16.440001,17.270000,17.270000,2306600
2017-08-07,17.299999,17.590000,16.650000,17.129999,17.129999,1351700
2017-08-14,17.230000,18.139999,17.230000,17.480000,17.480000,1538000
2017-08-21,17.469999,18.389999,17.000000,18.299999,18.299999,1318500
2017-08-28,18.500000,19.600000,18.180000,19.230000,19.230000,1780300
2017-09-04,19.100000,22.400000,19.100000,20.990000,20.990000,6081700
2017-09-11,21.389999,21.389999,18.230000,18.379999,18.379999,5131700
2017-09-18,18.000000,18.030001,16.709999,16.910000,16.910000,4390100
2017-09-25,16.950001,17.719999,16.059999,16.620001,16.620001,12886400
2017-10-02,16.500000,17.700001,16.260000,16.799999,16.799999,8488400
2017-10-09,16.860001,17.020000,15.631000,15.720000,15.720000,6088300
2017-10-16,15.750000,16.320000,15.130000,16.250000,16.250000,6251300
2017-10-23,16.350000,16.389999,14.500000,14.900000,14.900000,10526700
2017-10-30,15.050000,15.750000,14.850000,15.710000,15.710000,8840900
2017-11-06,15.690000,15.870000,14.935000,15.470000,15.470000,6441200
2017-11-13,15.350000,15.590000,14.890000,15.290000,15.290000,4468100
2017-11-20,15.200000,16.490000,15.180000,16.230000,16.230000,5861200
2017-11-27,16.200001,16.670000,15.310000,15.920000,15.920000,7718500
2017-12-04,16.020000,17.799999,15.520000,16.840000,16.840000,17060600
2017-12-11,16.840000,17.680000,16.045000,17.510000,17.510000,28580900
2017-12-18,17.500000,17.549999,16.590000,17.430000,17.430000,9283500
2017-12-25,17.320000,17.370001,16.350000,16.520000,16.520000,3719800
2018-01-01,16.420000,17.700001,16.357000,17.250000,17.250000,4001300
2018-01-08,17.200001,18.680000,16.702999,18.139999,18.139999,9599100
2018-01-15,18.360001,19.110001,17.360001,18.450001,18.450001,8104700
2018-01-22,18.500000,19.070000,18.110001,18.740000,18.740000,5222100
2018-01-29,18.690001,19.040001,17.950001,18.120001,18.120001,5306900
2018-02-05,17.930000,18.190001,16.520000,17.150000,17.150000,6042700
2018-02-12,17.250000,18.270000,17.020000,17.820000,17.820000,3156400
2018-02-19,17.790001,18.980000,17.790001,18.440001,18.440001,3046800
2018-02-26,18.440001,19.320000,17.969999,18.709999,18.709999,4026600
2018-03-05,18.620001,20.100000,18.500000,19.959999,19.959999,3989600
2018-03-12,20.000000,20.549999,19.330000,19.610001,19.610001,5843200
2018-03-19,19.510000,20.945999,19.239000,20.290001,20.290001,8040200
2018-03-26,20.590000,22.219999,20.120001,21.580000,21.580000,7371200
2018-04-02,21.580000,22.424999,12.900000,12.980000,12.980000,49723900
2018-04-09,13.100000,14.350000,12.570000,13.910000,13.910000,25847700
2018-04-16,13.920000,15.120000,13.748000,14.740000,14.740000,11101900
2018-04-23,14.800000,15.240000,13.960000,14.190000,14.190000,9475500
2018-04-30,14.170000,15.229000,14.017000,15.040000,15.040000,6285400
2018-05-07,15.370000,16.549999,15.285000,15.960000,15.960000,8272200
2018-05-14,16.010000,16.469999,15.386000,16.100000,16.100000,6205000
2018-05-21,16.209999,16.660000,15.790000,15.880000,15.880000,7538100
2018-05-28,15.750000,16.740000,15.700000,16.629999,16.629999,8099600
2018-06-04,16.750000,17.340000,15.660000,16.139999,16.139999,16284700
2018-06-11,16.000000,16.000000,14.950000,15.160000,15.160000,16300500
2018-06-18,15.070000,15.750000,14.460000,14.540000,14.540000,9073900
2018-06-25,14.400000,14.570000,12.950000,13.640000,13.640000,10703000
2018-07-02,13.500000,14.690000,13.420000,14.620000,14.620000,4873700
2018-07-09,14.700000,15.080000,14.200000,14.770000,14.770000,7911000
2018-07-16,14.870000,15.030000,14.570000,14.570000,14.570000,5171500
2018-07-23,14.580000,14.819000,13.880000,14.130000,14.130000,4371000
2018-07-30,14.090000,14.200000,13.180000,13.580000,13.580000,5837400
2018-08-06,13.560000,14.490000,13.365000,14.060000,14.060000,8715000
2018-08-13,14.050000,14.235000,13.850000,13.970000,13.970000,1269600
